id,answer
0,de facto HTML
1,1990 by Sir Tim Berners-Lee
2,layout engine
3,1993
4,2004
5,1995
6,1993
7,browsers support HTTP Secure and offer quick
8,1993
9,1990 by Sir Tim Berners-Lee
10,January 2009
11,1995
12,Internet Relay Chat
13,January 2009
14,web
15,January 2003
16,January 2009
17,HTTPS
18,Google Search the default search engine in Firefox
19,https , file
20,web
21,1995
22,1996
23,Uniform Resource Identifier
24,month to month
25,web feed aggregator
26,1995
27,1993
28,1998
29,over 7
30,proprietary web browsers led to the development of non-standard dialects of HTML
31,Uniform Resource Locator
32,Mozilla Foundation
33,World Wide Web , they can also be used to access information
34,1995
35,web browsers
36,named Netscape
37,JavaScript interpreter
38,Firefox
39,pop-up blockers
40,hyperlinks
41,August 2011
42,1996
43,Favorites
44,September 2008
45,Locator
46,1993
47,web servers
48,Mobile Safari
49,Apple 's Safari had its first beta release in January 2003
50,web browsers can display a list of web pages
51,1995
52,default e-mail
53,WorldWideWeb
54,relay route
55,April 12 , accusing the company 's major shareholder , the LVMH Group
56,heroic
57,Islamabad
58,60
59,t
60,2008
61,Nagano leg
62,Beijing citizen
63,Western media have reported on Chinese accusations of Western media bias
64,Olympic torch relay in Nagano
65,I
66,Sanya
67,Pakistan
68,10,000
69,Jackie Chan
70,controversies
71,Olympic torch relay in Nagano
72,Stephen Smith
73,boycott French hypermart Carrefour
74,Michèle Alliot-Marie
75,spectators
76,2007
77,Eiffel Tower
78,April 9
79,Chinatown
80,Shoichi Washizawa
81,1989
82,Sanya
83,Wan Chai . A total of 120 torchbearers were
84,Sanya
85,red and yellow
86,French hypermart Carrefour
87,the 80 torch-bearers
88,s
89,Islamabad
90,newspaper Libération
91,biased coverage
92,peaceful in nature
93,Seoul
94,The French newspaper Libération
95,torch route
96,March 2008 to May 2008 to August 2008
97,seven anti-China protestors
98,Uyghurs
99,censored
100,Nagano
101,Vietnam
102,Sir Steve Redgrave
103,pro-Tibet protests
104,Paralympic athlete
105,supposed to remain lit for the whole relay
106,pro-Tibet protests
107,Beijing citizen
108,Councilor Liu Yandong
109,48 km
110,April 11
111,Jinnah Stadium
112,relay route
113,relay route
114,peaceful protest , never approaching the torch relay itself . Among them was Jane Birkin
115,Stephen Smith
116,Macao
117,novelty inflatable
118,1964 Tokyo edition
119,Almaty
120,Olympic torch relay in Nagano
121,Uighur
122,degenerate scum
123,aluminum
124,actress Mia Farrow
125,March 2008
126,pro-China
127,April 14
128,community
129,deliberate disruptions
130,May 2
131,Kuala Lumpur
132,Lucky Cloud
133,Temeke , which was built with Chinese aid in 2005
134,Olympic medalist
135,Olympic torch relay in Nagano
136,May 2
137,the relay
138,Jacques Rogge
139,1,000 personnel
140,1988 Summer Olympics , on April 27
141,six
142,pro-Tibet demonstrators
143,six
144,enthusiasm calmly
145,August 8
146,60
147,extinguished
148,April 26 . Japanese Buddhist temple Zenkō-ji
149,Sanya
150,relay route
151,torchbearer
152,patriotic aspiration
153,Chinese website for the relay reported `` Indian torchbearers vow
154,Libération
155,Văn Hải
156,2008 Summer Olympics torch relay was run from March 24 until August 8 , 2008
157,Secretary Hu Jintao
158,symbolised democracy
159,six continents from March 2008 to May 2008 to August 2008
160,Olympics
161,relay route
162,Sanya
163,Konnie Huq
164,2008
165,137,000 km
166,relay
167,Fu Ying
168,Susan Prager
169,tracksuit-clad Chinese security guards . The Chinese officials , seen manhandling
170,propaganda stunt
171,International Olympic Committee
172,relay
173,Jinnah Stadium
174,Kazakhstan
175,on April 6 began at Wembley Stadium
176,April 26
177,1964 Tokyo edition
178,the Tiananmen Square protests of 1989
179,60
180,International Olympic Committee
181,40
182,Jane Birkin
183,taekwondo
184,Olympic torch relay in Nagano
185,were several protests along the torch relay route
186,symbolised democracy
187,April 20 , the People 's Daily published a report entitled `` Overseas
188,Nagano
189,April 29
190,relay route
191,United States of America : The torch relay 's North American leg
192,70
193,120 torchbearers were
194,137,000 km
195,Shoichi Washizawa
196,Olympic
197,Jane Birkin
198,relay route
199,forcefully took away placards
200,1964 Tokyo edition
201,Libération
202,Sha Tin ( crossed Shing Mun River via a dragon boat
203,demonstrations
204,Jackie Chan . The entire relay through Mainland China
205,relay route
206,April 13
207,1989
208,April 3
